periodyear,naicstitle,planning.region,wage.type,wages
2018,"Total, All Industries",Central Minnesota,totwageYear,12090968947
2018,Crop Production,Central Minnesota,totwageYear,37675204
2018,Animal Production and Aquaculture,Central Minnesota,totwageYear,99662283
2018,Support Activities for Crop Production,Central Minnesota,totwageYear,9894125
2018,Support Activities for Animal Production,Central Minnesota,totwageYear,7356990
2018,Food Manufacturing,Central Minnesota,totwageYear,427110744
2018,Agricultural Implement Manufacturing,Central Minnesota,totwageYear,33261465
2018,Farm Product Raw Material Merchant Wholesalers,Central Minnesota,totwageYear,19785874
2018,Farm Supplies Merchant Wholesalers,Central Minnesota,totwageYear,59303948
2017,"Total, All Industries",Central Minnesota,totwageYear,11643960765
2017,Crop Production,Central Minnesota,totwageYear,36743997
2017,Animal Production and Aquaculture,Central Minnesota,totwageYear,94657999
2017,Support Activities for Crop Production,Central Minnesota,totwageYear,8906905
2017,Support Activities for Animal Production,Central Minnesota,totwageYear,6272639
2017,Food Manufacturing,Central Minnesota,totwageYear,402026887
2017,Agricultural Implement Manufacturing,Central Minnesota,totwageYear,29965551
2017,Farm Product Raw Material Merchant Wholesalers,Central Minnesota,totwageYear,19994337
2017,Farm Supplies Merchant Wholesalers,Central Minnesota,totwageYear,58623411
2016,"Total, All Industries",Central Minnesota,totwageYear,11095685006
2016,Crop Production,Central Minnesota,totwageYear,35476672
2016,Animal Production and Aquaculture,Central Minnesota,totwageYear,86475386
2016,Support Activities for Crop Production,Central Minnesota,totwageYear,9038437
2016,Support Activities for Animal Production,Central Minnesota,totwageYear,5763439
2016,Food Manufacturing,Central Minnesota,totwageYear,362840014
2016,Agricultural Implement Manufacturing,Central Minnesota,totwageYear,33479431
2016,Farm Product Raw Material Merchant Wholesalers,Central Minnesota,totwageYear,17724208
2016,Farm Supplies Merchant Wholesalers,Central Minnesota,totwageYear,51750045
2015,"Total, All Industries",Central Minnesota,totwageYear,10708380953
2015,Crop Production,Central Minnesota,totwageYear,33846660
2015,Animal Production and Aquaculture,Central Minnesota,totwageYear,90361564
2015,Support Activities for Crop Production,Central Minnesota,totwageYear,7594600
2015,Support Activities for Animal Production,Central Minnesota,totwageYear,5762986
2015,Food Manufacturing,Central Minnesota,totwageYear,342010124
2015,Agricultural Implement Manufacturing,Central Minnesota,totwageYear,33636828
2015,Farm Product Raw Material Merchant Wholesalers,Central Minnesota,totwageYear,18110001
2015,Farm Supplies Merchant Wholesalers,Central Minnesota,totwageYear,48540331
2014,"Total, All Industries",Central Minnesota,totwageYear,10043669705
2014,Crop Production,Central Minnesota,totwageYear,32513993
2014,Animal Production and Aquaculture,Central Minnesota,totwageYear,86188198
2014,Support Activities for Crop Production,Central Minnesota,totwageYear,7253779
2014,Support Activities for Animal Production,Central Minnesota,totwageYear,1220363
2014,Food Manufacturing,Central Minnesota,totwageYear,329854996
2014,Agricultural Implement Manufacturing,Central Minnesota,totwageYear,32703759
2014,Farm Product Raw Material Merchant Wholesalers,Central Minnesota,totwageYear,18564031
2014,Farm Supplies Merchant Wholesalers,Central Minnesota,totwageYear,48292508
2013,"Total, All Industries",Central Minnesota,totwageYear,9585173084
2013,Crop Production,Central Minnesota,totwageYear,31116176
2013,Animal Production and Aquaculture,Central Minnesota,totwageYear,82978381
2013,Support Activities for Crop Production,Central Minnesota,totwageYear,6572283
2013,Support Activities for Animal Production,Central Minnesota,totwageYear,3391039
2013,Food Manufacturing,Central Minnesota,totwageYear,307600880
2013,Agricultural Implement Manufacturing,Central Minnesota,totwageYear,28053203
2013,Farm Product Raw Material Merchant Wholesalers,Central Minnesota,totwageYear,18202263
2013,Farm Supplies Merchant Wholesalers,Central Minnesota,totwageYear,44552359
2012,"Total, All Industries",Central Minnesota,totwageYear,9266080494
2012,Crop Production,Central Minnesota,totwageYear,29505464
2012,Animal Production and Aquaculture,Central Minnesota,totwageYear,80931249
2012,Support Activities for Crop Production,Central Minnesota,totwageYear,6730420
2012,Support Activities for Animal Production,Central Minnesota,totwageYear,845391
2012,Food Manufacturing,Central Minnesota,totwageYear,288049127
2012,Agricultural Implement Manufacturing,Central Minnesota,totwageYear,26310455
2012,Farm Product Raw Material Merchant Wholesalers,Central Minnesota,totwageYear,16670882
2012,Farm Supplies Merchant Wholesalers,Central Minnesota,totwageYear,42043443
2011,"Total, All Industries",Central Minnesota,totwageYear,8863710691
2011,Crop Production,Central Minnesota,totwageYear,27056983
2011,Animal Production and Aquaculture,Central Minnesota,totwageYear,75655070
2011,Support Activities for Crop Production,Central Minnesota,totwageYear,6845242
2011,Support Activities for Animal Production,Central Minnesota,totwageYear,810422.3333333334
2011,Food Manufacturing,Central Minnesota,totwageYear,291938888
2011,Agricultural Implement Manufacturing,Central Minnesota,totwageYear,5689945.333333333
2011,Farm Product Raw Material Merchant Wholesalers,Central Minnesota,totwageYear,14707010
2011,Farm Supplies Merchant Wholesalers,Central Minnesota,totwageYear,38657069
2010,"Total, All Industries",Central Minnesota,totwageYear,8478197639
2010,Crop Production,Central Minnesota,totwageYear,26700931
2010,Animal Production and Aquaculture,Central Minnesota,totwageYear,69194760
2010,Support Activities for Crop Production,Central Minnesota,totwageYear,6550257
2010,Support Activities for Animal Production,Central Minnesota,totwageYear,747605.5
2010,Food Manufacturing,Central Minnesota,totwageYear,283330458
2010,Agricultural Implement Manufacturing,Central Minnesota,totwageYear,19035995
2010,Farm Product Raw Material Merchant Wholesalers,Central Minnesota,totwageYear,14948984
2010,Farm Supplies Merchant Wholesalers,Central Minnesota,totwageYear,37591256
2009,"Total, All Industries",Central Minnesota,totwageYear,8409122956
2009,Crop Production,Central Minnesota,totwageYear,23604303
2009,Animal Production and Aquaculture,Central Minnesota,totwageYear,68127094
2009,Support Activities for Crop Production,Central Minnesota,totwageYear,6598021
2009,Food Manufacturing,Central Minnesota,totwageYear,270318451
2009,Agricultural Implement Manufacturing,Central Minnesota,totwageYear,15479388
2009,Farm Product Raw Material Merchant Wholesalers,Central Minnesota,totwageYear,14835546
2009,Farm Supplies Merchant Wholesalers,Central Minnesota,totwageYear,37649744
2008,"Total, All Industries",Central Minnesota,totwageYear,8705724661
2008,Crop Production,Central Minnesota,totwageYear,23646497
2008,Animal Production and Aquaculture,Central Minnesota,totwageYear,63741135
2008,Support Activities for Crop Production,Central Minnesota,totwageYear,1685075.6666666667
2008,Support Activities for Animal Production,Central Minnesota,totwageYear,788837
2008,Food Manufacturing,Central Minnesota,totwageYear,266222616
2008,Agricultural Implement Manufacturing,Central Minnesota,totwageYear,13368518
2008,Farm Product Raw Material Merchant Wholesalers,Central Minnesota,totwageYear,15022786
2008,Farm Supplies Merchant Wholesalers,Central Minnesota,totwageYear,37576861
2007,"Total, All Industries",Central Minnesota,totwageYear,8535882323
2007,Crop Production,Central Minnesota,totwageYear,23106444
2007,Animal Production and Aquaculture,Central Minnesota,totwageYear,60171879
2007,Support Activities for Crop Production,Central Minnesota,totwageYear,5029419
2007,Food Manufacturing,Central Minnesota,totwageYear,252463229
2007,Agricultural Implement Manufacturing,Central Minnesota,totwageYear,11352599
2007,Farm Product Raw Material Merchant Wholesalers,Central Minnesota,totwageYear,13948500
2007,Farm Supplies Merchant Wholesalers,Central Minnesota,totwageYear,35095679
2006,"Total, All Industries",Central Minnesota,totwageYear,8184120772
2006,Crop Production,Central Minnesota,totwageYear,21390053
2006,Animal Production and Aquaculture,Central Minnesota,totwageYear,56713272
2006,Support Activities for Crop Production,Central Minnesota,totwageYear,5328307
2006,Support Activities for Animal Production,Central Minnesota,totwageYear,696407.3333333334
2006,Food Manufacturing,Central Minnesota,totwageYear,244769023
2006,Agricultural Implement Manufacturing,Central Minnesota,totwageYear,12432200
2006,Farm Product Raw Material Merchant Wholesalers,Central Minnesota,totwageYear,15288483
2006,Farm Supplies Merchant Wholesalers,Central Minnesota,totwageYear,31056115
2005,"Total, All Industries",Central Minnesota,totwageYear,7732387558
2005,Crop Production,Central Minnesota,totwageYear,19124999
2005,Animal Production and Aquaculture,Central Minnesota,totwageYear,53216047
2005,Support Activities for Crop Production,Central Minnesota,totwageYear,6670550
2005,Food Manufacturing,Central Minnesota,totwageYear,237189608
2005,Agricultural Implement Manufacturing,Central Minnesota,totwageYear,12191110
2005,Farm Product Raw Material Merchant Wholesalers,Central Minnesota,totwageYear,11914685
2005,Farm Supplies Merchant Wholesalers,Central Minnesota,totwageYear,30431195
2004,"Total, All Industries",Central Minnesota,totwageYear,7568404580
2004,Crop Production,Central Minnesota,totwageYear,19838788
2004,Animal Production and Aquaculture,Central Minnesota,totwageYear,51421550
2004,Support Activities for Crop Production,Central Minnesota,totwageYear,7350550
2004,Food Manufacturing,Central Minnesota,totwageYear,234397236
2004,Agricultural Implement Manufacturing,Central Minnesota,totwageYear,11347067
2004,Farm Product Raw Material Merchant Wholesalers,Central Minnesota,totwageYear,9634094
2004,Farm Supplies Merchant Wholesalers,Central Minnesota,totwageYear,36788721
2003,"Total, All Industries",Central Minnesota,totwageYear,7131881798
2003,Crop Production,Central Minnesota,totwageYear,20692577
2003,Animal Production and Aquaculture,Central Minnesota,totwageYear,48663687
2003,Support Activities for Crop Production,Central Minnesota,totwageYear,6470908
2003,Food Manufacturing,Central Minnesota,totwageYear,220734138
2003,Agricultural Implement Manufacturing,Central Minnesota,totwageYear,10738126
2003,Farm Product Raw Material Merchant Wholesalers,Central Minnesota,totwageYear,9858207
2003,Farm Supplies Merchant Wholesalers,Central Minnesota,totwageYear,33168235
2002,"Total, All Industries",Central Minnesota,totwageYear,6869527975
2002,Crop Production,Central Minnesota,totwageYear,20250299
2002,Animal Production and Aquaculture,Central Minnesota,totwageYear,50322360
2002,Support Activities for Crop Production,Central Minnesota,totwageYear,6395601
2002,Food Manufacturing,Central Minnesota,totwageYear,208242615
2002,Agricultural Implement Manufacturing,Central Minnesota,totwageYear,11152878
2002,Farm Product Raw Material Merchant Wholesalers,Central Minnesota,totwageYear,10111057
2002,Farm Supplies Merchant Wholesalers,Central Minnesota,totwageYear,32146221
2001,"Total, All Industries",Central Minnesota,totwageYear,6511167239
2001,Crop Production,Central Minnesota,totwageYear,18909563
2001,Animal Production and Aquaculture,Central Minnesota,totwageYear,47241000
2001,Support Activities for Crop Production,Central Minnesota,totwageYear,6098106
2001,Food Manufacturing,Central Minnesota,totwageYear,194504219
2001,Agricultural Implement Manufacturing,Central Minnesota,totwageYear,17476065
2001,Farm Product Raw Material Merchant Wholesalers,Central Minnesota,totwageYear,10309467
2001,Farm Supplies Merchant Wholesalers,Central Minnesota,totwageYear,29525245
2018,"Total, All Industries",Northeast Minnesota,totwageYear,6488391239
2018,Crop Production,Northeast Minnesota,totwageYear,1072778
2018,Animal Production and Aquaculture,Northeast Minnesota,totwageYear,498487
2018,Food Manufacturing,Northeast Minnesota,totwageYear,14691338
2017,"Total, All Industries",Northeast Minnesota,totwageYear,6190440106
2017,Crop Production,Northeast Minnesota,totwageYear,1131766
2017,Animal Production and Aquaculture,Northeast Minnesota,totwageYear,551034
2017,Food Manufacturing,Northeast Minnesota,totwageYear,2840280.3333333335
2016,"Total, All Industries",Northeast Minnesota,totwageYear,5932070230
2016,Crop Production,Northeast Minnesota,totwageYear,1309243
2016,Animal Production and Aquaculture,Northeast Minnesota,totwageYear,587556
2016,Food Manufacturing,Northeast Minnesota,totwageYear,12517455
2015,"Total, All Industries",Northeast Minnesota,totwageYear,5968500282
2015,Crop Production,Northeast Minnesota,totwageYear,1474676
2015,Animal Production and Aquaculture,Northeast Minnesota,totwageYear,717421
2015,Food Manufacturing,Northeast Minnesota,totwageYear,9607488
2014,"Total, All Industries",Northeast Minnesota,totwageYear,5738851893
2014,Crop Production,Northeast Minnesota,totwageYear,1117034
2014,Animal Production and Aquaculture,Northeast Minnesota,totwageYear,829060
2014,Food Manufacturing,Northeast Minnesota,totwageYear,9923709
2013,"Total, All Industries",Northeast Minnesota,totwageYear,5546421775
2013,Crop Production,Northeast Minnesota,totwageYear,1124231
2013,Animal Production and Aquaculture,Northeast Minnesota,totwageYear,275781.3333333333
2013,Food Manufacturing,Northeast Minnesota,totwageYear,12230317
2012,"Total, All Industries",Northeast Minnesota,totwageYear,5328664650
2012,Crop Production,Northeast Minnesota,totwageYear,1291367
2012,Animal Production and Aquaculture,Northeast Minnesota,totwageYear,938217
2012,Food Manufacturing,Northeast Minnesota,totwageYear,13431323
2011,"Total, All Industries",Northeast Minnesota,totwageYear,5232547921
2011,Crop Production,Northeast Minnesota,totwageYear,1382947
2011,Animal Production and Aquaculture,Northeast Minnesota,totwageYear,827084
2011,Support Activities for Animal Production,Northeast Minnesota,totwageYear,22897
2011,Food Manufacturing,Northeast Minnesota,totwageYear,28717832
2010,"Total, All Industries",Northeast Minnesota,totwageYear,5037180762
2010,Crop Production,Northeast Minnesota,totwageYear,1259744
2010,Animal Production and Aquaculture,Northeast Minnesota,totwageYear,219754.33333333334
2010,Support Activities for Crop Production,Northeast Minnesota,totwageYear,66260
2010,Support Activities for Animal Production,Northeast Minnesota,totwageYear,22838
2010,Food Manufacturing,Northeast Minnesota,totwageYear,10457736
2010,Farm Supplies Merchant Wholesalers,Northeast Minnesota,totwageYear,193094
2009,"Total, All Industries",Northeast Minnesota,totwageYear,4896224630
2009,Crop Production,Northeast Minnesota,totwageYear,1365641
2009,Animal Production and Aquaculture,Northeast Minnesota,totwageYear,72546.5
2009,Support Activities for Animal Production,Northeast Minnesota,totwageYear,28000.5
2009,Food Manufacturing,Northeast Minnesota,totwageYear,10950465
2009,Farm Supplies Merchant Wholesalers,Northeast Minnesota,totwageYear,58484
2008,"Total, All Industries",Northeast Minnesota,totwageYear,5123829515
2008,Crop Production,Northeast Minnesota,totwageYear,1556400
2008,Animal Production and Aquaculture,Northeast Minnesota,totwageYear,384804.3333333333
2008,Support Activities for Animal Production,Northeast Minnesota,totwageYear,17833.333333333332
2008,Food Manufacturing,Northeast Minnesota,totwageYear,15925293
2008,Farm Product Raw Material Merchant Wholesalers,Northeast Minnesota,totwageYear,370453.3333333333
2007,"Total, All Industries",Northeast Minnesota,totwageYear,4967156348
2007,Crop Production,Northeast Minnesota,totwageYear,279002.5
2007,Support Activities for Animal Production,Northeast Minnesota,totwageYear,14970
2007,Food Manufacturing,Northeast Minnesota,totwageYear,13099741
2007,Farm Product Raw Material Merchant Wholesalers,Northeast Minnesota,totwageYear,535096.3333333334
2007,Farm Supplies Merchant Wholesalers,Northeast Minnesota,totwageYear,58300
2006,"Total, All Industries",Northeast Minnesota,totwageYear,4731915256
2006,Crop Production,Northeast Minnesota,totwageYear,475590
2006,Animal Production and Aquaculture,Northeast Minnesota,totwageYear,589419
2006,Support Activities for Animal Production,Northeast Minnesota,totwageYear,16909.333333333332
2006,Food Manufacturing,Northeast Minnesota,totwageYear,13109285
2006,Farm Product Raw Material Merchant Wholesalers,Northeast Minnesota,totwageYear,389222
2006,Farm Supplies Merchant Wholesalers,Northeast Minnesota,totwageYear,719097
2005,"Total, All Industries",Northeast Minnesota,totwageYear,4545837481
2005,Support Activities for Animal Production,Northeast Minnesota,totwageYear,15772
2005,Food Manufacturing,Northeast Minnesota,totwageYear,14871602
2005,Farm Product Raw Material Merchant Wholesalers,Northeast Minnesota,totwageYear,623085.5
2004,"Total, All Industries",Northeast Minnesota,totwageYear,4488386712
2004,Crop Production,Northeast Minnesota,totwageYear,1843559
2004,Support Activities for Crop Production,Northeast Minnesota,totwageYear,89483
2004,Food Manufacturing,Northeast Minnesota,totwageYear,17797916
2004,Farm Product Raw Material Merchant Wholesalers,Northeast Minnesota,totwageYear,663111
2004,Farm Supplies Merchant Wholesalers,Northeast Minnesota,totwageYear,752020
2003,"Total, All Industries",Northeast Minnesota,totwageYear,4264350905
2003,Crop Production,Northeast Minnesota,totwageYear,1620112
2003,Food Manufacturing,Northeast Minnesota,totwageYear,19523333
2003,Farm Supplies Merchant Wholesalers,Northeast Minnesota,totwageYear,174393.33333333334
2002,"Total, All Industries",Northeast Minnesota,totwageYear,4208621545
2002,Crop Production,Northeast Minnesota,totwageYear,1526012
2002,Animal Production and Aquaculture,Northeast Minnesota,totwageYear,98738
2002,Support Activities for Crop Production,Northeast Minnesota,totwageYear,141883
2002,Food Manufacturing,Northeast Minnesota,totwageYear,18259344
2002,Farm Supplies Merchant Wholesalers,Northeast Minnesota,totwageYear,785545
2001,"Total, All Industries",Northeast Minnesota,totwageYear,4065299084
2001,Crop Production,Northeast Minnesota,totwageYear,1636022
2001,Animal Production and Aquaculture,Northeast Minnesota,totwageYear,125858.5
2001,Food Manufacturing,Northeast Minnesota,totwageYear,21359641
2001,Farm Supplies Merchant Wholesalers,Northeast Minnesota,totwageYear,223806
2018,"Total, All Industries",Northwest Minnesota,totwageYear,9084952448
2018,Crop Production,Northwest Minnesota,totwageYear,86182818
2018,Animal Production and Aquaculture,Northwest Minnesota,totwageYear,88820135
2018,Support Activities for Crop Production,Northwest Minnesota,totwageYear,24936498
2018,Support Activities for Animal Production,Northwest Minnesota,totwageYear,755395
2018,Food Manufacturing,Northwest Minnesota,totwageYear,300091352
2018,Agricultural Implement Manufacturing,Northwest Minnesota,totwageYear,19529596
2018,Farm Product Raw Material Merchant Wholesalers,Northwest Minnesota,totwageYear,72287502
2018,Farm Supplies Merchant Wholesalers,Northwest Minnesota,totwageYear,52573732
2017,"Total, All Industries",Northwest Minnesota,totwageYear,8691524714
2017,Crop Production,Northwest Minnesota,totwageYear,85862479
2017,Animal Production and Aquaculture,Northwest Minnesota,totwageYear,87313974
2017,Support Activities for Crop Production,Northwest Minnesota,totwageYear,21517093
2017,Support Activities for Animal Production,Northwest Minnesota,totwageYear,737366
2017,Food Manufacturing,Northwest Minnesota,totwageYear,289487556
2017,Agricultural Implement Manufacturing,Northwest Minnesota,totwageYear,20658898
2017,Farm Product Raw Material Merchant Wholesalers,Northwest Minnesota,totwageYear,69234902
2017,Farm Supplies Merchant Wholesalers,Northwest Minnesota,totwageYear,51950824
2016,"Total, All Industries",Northwest Minnesota,totwageYear,8333921031
2016,Crop Production,Northwest Minnesota,totwageYear,82077483
2016,Animal Production and Aquaculture,Northwest Minnesota,totwageYear,72940763
2016,Support Activities for Crop Production,Northwest Minnesota,totwageYear,21234054
2016,Support Activities for Animal Production,Northwest Minnesota,totwageYear,677368
2016,Food Manufacturing,Northwest Minnesota,totwageYear,272118607
2016,Agricultural Implement Manufacturing,Northwest Minnesota,totwageYear,19969776
2016,Farm Product Raw Material Merchant Wholesalers,Northwest Minnesota,totwageYear,76102920
2016,Farm Supplies Merchant Wholesalers,Northwest Minnesota,totwageYear,33361137
2015,"Total, All Industries",Northwest Minnesota,totwageYear,8069690920
2015,Crop Production,Northwest Minnesota,totwageYear,78116543
2015,Animal Production and Aquaculture,Northwest Minnesota,totwageYear,71828882
2015,Support Activities for Crop Production,Northwest Minnesota,totwageYear,20378746
2015,Support Activities for Animal Production,Northwest Minnesota,totwageYear,1425560
2015,Food Manufacturing,Northwest Minnesota,totwageYear,256599778
2015,Agricultural Implement Manufacturing,Northwest Minnesota,totwageYear,11214711
2015,Farm Product Raw Material Merchant Wholesalers,Northwest Minnesota,totwageYear,77114228
2015,Farm Supplies Merchant Wholesalers,Northwest Minnesota,totwageYear,34662774
2014,"Total, All Industries",Northwest Minnesota,totwageYear,7749530943
2014,Crop Production,Northwest Minnesota,totwageYear,73061932
2014,Animal Production and Aquaculture,Northwest Minnesota,totwageYear,65208340
2014,Support Activities for Crop Production,Northwest Minnesota,totwageYear,19674537
2014,Support Activities for Animal Production,Northwest Minnesota,totwageYear,1254844
2014,Food Manufacturing,Northwest Minnesota,totwageYear,244835416
2014,Agricultural Implement Manufacturing,Northwest Minnesota,totwageYear,10343408
2014,Farm Product Raw Material Merchant Wholesalers,Northwest Minnesota,totwageYear,74313610
2014,Farm Supplies Merchant Wholesalers,Northwest Minnesota,totwageYear,39004147
2013,"Total, All Industries",Northwest Minnesota,totwageYear,7388984292
2013,Crop Production,Northwest Minnesota,totwageYear,69308118
2013,Animal Production and Aquaculture,Northwest Minnesota,totwageYear,57001200
2013,Support Activities for Crop Production,Northwest Minnesota,totwageYear,19105456
2013,Support Activities for Animal Production,Northwest Minnesota,totwageYear,1034600
2013,Food Manufacturing,Northwest Minnesota,totwageYear,240612309
2013,Agricultural Implement Manufacturing,Northwest Minnesota,totwageYear,9510910
2013,Farm Product Raw Material Merchant Wholesalers,Northwest Minnesota,totwageYear,67776747
2013,Farm Supplies Merchant Wholesalers,Northwest Minnesota,totwageYear,36050135
2012,"Total, All Industries",Northwest Minnesota,totwageYear,7110350820
2012,Crop Production,Northwest Minnesota,totwageYear,61755054
2012,Animal Production and Aquaculture,Northwest Minnesota,totwageYear,56476116
2012,Support Activities for Crop Production,Northwest Minnesota,totwageYear,17665380
2012,Support Activities for Animal Production,Northwest Minnesota,totwageYear,306294.6666666667
2012,Food Manufacturing,Northwest Minnesota,totwageYear,241897794
2012,Agricultural Implement Manufacturing,Northwest Minnesota,totwageYear,8833807
2012,Farm Product Raw Material Merchant Wholesalers,Northwest Minnesota,totwageYear,64315033
