GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
27000,Minnesota,131679344,135128152,141146500,150987628,154969728,159588573,167175577,171922227,162791441,169682909,179683799,190181389,195260585,202625339,211003037,215200116,223244047,233117230
27001,"Aitkin, MN",142953,157037,165604,174543,174266,178383,178452,174216,168276,183171,181171,183305,185763,193209,201917,211576,221595,229741
27003,"Anoka, MN",5381728,5645600,5968457,6341947,6580198,6757035,6871055,6773236,6485187,6566861,6974252,7406690,7736799,8214850,8641563,8927175,9156902,9631909
27005,"Becker, MN",461107,488555,525766,551138,579999,599736,617362,621410,606348,660356,706078,780448,805187,808167,810992,843886,875703,895248
27007,"Beltrami, MN",630428,671687,712365,744029,761400,791343,798792,826071,871610,880961,898455,938168,965087,1020317,1066683,1119115,1147010,1211278
27009,"Benton, MN",567762,595687,702421,761636,783647,815214,836553,841221,794107,820241,841462,913588,880643,926968,978022,1006104,1043665,1060786
27011,"Big Stone, MN",63333,70809,73027,86242,86817,87509,88756,107706,102650,107668,105964,143960,130913,111296,117504,117838,106955,124994
27013,"Blue Earth, MN",1396126,1514720,1562691,1681654,1774540,1930225,1911775,1873204,1798934,1845060,2011730,2184042,2242716,2338400,2398677,2379590,2494345,2536429
27015,"Brown, MN",558386,564156,601898,656469,668013,680780,688296,733414,684654,713521,769533,807941,844472,822290,827281,796447,839940,871798
27017,"Carlton, MN",543836,570919,565890,590970,606452,606085,634282,650738,636893,647946,676094,694546,741435,791387,781757,807017,829593,841172
27019,"Carver, MN",1554956,1613720,1679584,1834613,1903348,2094767,2203450,2242579,2131118,2218057,2400054,2596110,2668781,2878657,3086259,3092063,3334501,3445791
27021,"Cass, MN",319980,339100,368577,384516,382907,374532,377163,376631,372140,398272,412723,426234,439008,462380,485613,511864,538779,566416
27023,"Chippewa, MN",233404,244702,251901,267159,291618,295115,305198,323085,299149,317647,350291,397098,403203,357416,341420,331525,337103,360276
27025,"Chisago, MN",596450,642428,682225,714970,736551,761650,766404,771903,749771,769680,794768,778154,875459,896011,934933,985521,1022278,1054046
27027,"Clay, MN",667341,704738,774990,796372,820706,855745,881968,983488,984141,1026989,1083368,1184693,1207896,1202620,1220199,1222739,1268836,1319850
27029,"Clearwater, MN",110228,115892,109103,107587,107416,105899,106670,114193,110293,127015,142164,144167,162863,167918,181707,183742,181297,181091
27031,"Cook, MN",100077,105346,108375,118115,124188,125813,127029,127517,129546,136558,140881,140832,142931,143826,152361,155483,156355,161561
27033,"Cottonwood, MN",190301,205938,228905,267245,263046,265898,274808,297646,271733,296207,340053,366978,386849,344079,333559,267969,304848,331942
27035,"Crow Wing, MN",1062683,1125696,1157433,1229148,1254796,1318602,1341706,1331044,1292408,1334034,1382346,1426978,1479923,1584832,1650079,1716569,1763573,1835092
27037,"Dakota, MN",7909569,8454369,9072158,9738178,10050736,10328602,10774428,11035717,10749378,10940890,11571458,12190828,12605289,13400263,13987565,14311135,14722924,15643740
27039,"Dodge, MN",214118,242824,249313,294592,307687,332318,340539,354742,311676,355202,402048,466384,407619,391916,402379,382570,405224,457910
27041,"Douglas, MN",626444,678519,731953,793073,796771,819918,904158,1030041,1024346,1118175,1164109,1299321,1265955,1132392,1243372,1307341,1213592,1283663
27043,"Faribault, MN",233651,266326,275343,321442,328864,320034,337383,332450,292893,291964,354073,386123,350324,272436,270147,220575,232038,270557
27045,"Fillmore, MN",278406,288712,295849,341092,335851,341141,360551,386262,349783,350871,401828,412085,394569,394655,412621,357204,359391,378168
27047,"Freeborn, MN",491513,508842,530202,564609,577923,587149,604745,629245,595923,639395,698984,730939,684506,669998,679021,665912,696108,750639
27049,"Goodhue, MN",934488,953183,990064,1107438,1079459,1077711,1109380,1187097,1166787,1225538,1326515,1405185,1433858,1480263,1549727,1474934,1535744,1621365
27051,"Grant, MN",84629,88201,96010,104786,99358,98644,108699,134930,117131,124200,128652,185749,174334,139398,166063,145879,140305,155035
27053,"Hennepin, MN",52768121,52526664,53834290,57823655,59526256,61775141,66044709,67296302,62487668,64714077,68703007,73030610,74883254,78365003,82035088,84910969,88572774,92886168
27055,"Houston, MN",197534,208142,234269,262513,262655,248196,241167,245280,235740,252463,268206,293299,280758,292347,297708,302573,319448,328798
27057,"Hubbard, MN",254390,288870,366411,562752,500197,374351,298414,284734,262868,269520,274203,292637,303008,300149,325432,342029,366776,386407
27059,"Isanti, MN",384506,419478,443355,475173,495208,512664,517028,524668,513587,530970,559873,585423,608038,631559,648247,658375,671521,695015
27061,"Itasca, MN",638168,664223,685263,710119,728497,754127,765290,789840,774752,809350,847252,876348,876296,936995,1013362,967614,962478,1027032
27063,"Jackson, MN",166624,176062,198864,242954,271584,253142,258847,301931,297742,309801,357843,401384,410032,370169,359926,313162,330114,340011
27065,"Kanabec, MN",163759,168762,171149,186238,178966,178183,172954,169305,166695,179255,188960,198895,207333,230381,242995,269845,272293,272832
27067,"Kandiyohi, MN",817725,852966,910876,983797,1026154,1051537,1074762,1172846,1142585,1169995,1240701,1361257,1378139,1379134,1521621,1516476,1602404,1643404
27069,"Kittson, MN",52287,66994,104311,76050,72415,80151,92534,136218,71491,95371,100877,148922,168898,130067,120930,114516,111652,119946
27071,"Koochiching, MN",247616,255244,273800,290827,283473,267329,278046,276617,275328,297221,294831,282208,286376,267571,267961,262568,266755,286421
27073,"Lac qui Parle, MN",98216,104970,105573,135110,147110,139956,139982,156613,174911,193120,202386,247407,275726,197468,170495,148697,139735,166145
27075,"Lake, MN",166511,168476,184101,199983,210703,211780,214274,223586,210832,234817,250121,263815,262560,272280,270117,241975,267166,281381
27077,"Lake of the Woods, MN",53802,56484,70371,69953,67557,65891,62907,66196,67422,73239,69194,69927,82818,99667,114887,102613,110734,117792
27079,"Le Sueur, MN",341179,355776,371555,397062,396561,398635,397355,420038,372640,403169,435161,493418,486216,547894,544716,560202,578370,566452
27081,"Lincoln, MN",67977,63674,73035,85501,95545,85037,85331,97202,92633,105966,123901,134556,153715,128509,128224,109880,105463,115945
27083,"Lyon, MN",578161,600163,628965,700460,741061,740393,748732,802609,772718,811579,871088,894339,960449,929993,969222,917784,921927,926986
27085,"McLeod, MN",753921,788300,831789,882309,927332,952057,967902,972450,910774,921840,957755,1008043,1026042,1088016,1160293,1132569,1140871,1125594
27087,"Mahnomen, MN",76298,71793,85964,81469,85376,87241,90496,94817,78010,84587,94102,108418,115546,102217,111315,121430,110161,109505
27089,"Marshall, MN",94167,105523,156087,112255,120307,128184,145863,215832,126878,154941,181025,242814,233654,181810,176785,186980,187631,191291
27091,"Martin, MN",378335,400485,434856,491899,520266,505717,508280,565471,503320,574491,591113,623510,619737,582067,561239,520591,574237,535005
27093,"Meeker, MN",275745,297658,310626,344431,350740,358794,360047,376529,328805,360151,373269,421891,405136,418212,438822,423840,445506,446609
27095,"Mille Lacs, MN",337472,372733,369779,402914,395431,402201,413558,405129,390185,403018,416584,457946,462369,470686,500391,507743,524219,529820
27097,"Morrison, MN",407340,432363,471171,532138,541667,533370,559792,602105,537906,593463,637903,668165,628051,652690,681831,653571,672162,690747
27099,"Mower, MN",660890,708575,720478,786480,794734,818969,860586,886266,891374,985450,1074095,1139475,1068395,1074572,1143623,1129329,1092839,1190732
27101,"Murray, MN",121875,125703,139407,166618,183427,174687,191959,219081,203528,228335,269362,275528,331626,274831,306878,238041,229880,236502
27103,"Nicollet, MN",568136,569353,606361,656232,691827,716085,718732,775475,707367,756939,806346,838194,872377,903243,915675,914099,982602,1018845
27105,"Nobles, MN",392669,416737,445920,511002,525458,509517,539947,579806,560462,601932,668074,683672,710203,706745,747338,670744,698773,713140
27107,"Norman, MN",95171,89259,130834,108452,119121,126020,132094,170335,104991,126793,140108,166842,181713,116298,115329,113786,111580,127801
27109,"Olmsted, MN",4249090,4448241,4804819,5034585,5111805,5297549,5575832,5711404,5741569,6166738,6085225,6402409,6584514,6728778,6992750,7327826,7665215,8281257
27111,"Otter Tail, MN",807120,856482,923793,979657,989285,988082,1015667,1102533,1048348,1108955,1196666,1285384,1348293,1393203,1380510,1385982,1432039,1472475
27113,"Pennington, MN",302512,320910,353358,359356,390795,399704,420984,449737,414101,472671,512512,593695,595850,609813,633661,642308,649812,668969
27115,"Pine, MN",291102,303515,315025,331399,326002,326177,335984,350137,348935,366875,376863,380371,377507,393124,416012,424456,441130,438341
27117,"Pipestone, MN",166504,164936,183257,216646,230890,221965,230743,275576,261115,293512,317161,329463,352152,358618,346513,321214,356692,365835
27119,"Polk, MN",443914,452218,548455,524023,551300,577444,594510,706764,614972,658408,703961,794622,880392,750166,697631,729707,762289,815790
27121,"Pope, MN",149541,158836,176549,190134,196241,185354,195333,215779,191270,210375,230956,284781,284057,271645,276568,264482,276052,309820
27123,"Ramsey, MN",18159340,18562872,19335568,20287767,20552949,20911708,21923060,22282169,21545797,22257002,23261369,23794440,24804951,25980766,27037204,27523531,28218432,28762099
27125,"Red Lake, MN",47002,44735,59615,52731,55626,57490,60525,72196,57222,63255,73355,86500,96463,83333,90080,81079,90359,91853
27127,"Redwood, MN",277702,267810,286335,327342,352044,343582,355466,404330,403389,435600,468146,497563,538373,553571,547972,456958,428625,449761
27129,"Renville, MN",245708,290900,309018,328963,353559,362880,377168,440286,374604,407574,419542,499372,530400,438070,456687,399072,408464,396811
27131,"Rice, MN",989486,1046640,1077448,1096092,1093655,1137714,1171381,1221308,1215562,1248979,1266978,1378426,1384213,1430806,1501597,1546015,1611918,1701682
27133,"Rock, MN",156769,161546,165063,184077,219861,219950,229269,243267,204884,242542,284208,288969,314866,311271,312053,264621,290285,282760
27135,"Roseau, MN",350482,362010,427102,428473,463114,442102,440553,493695,410527,440613,497561,539877,495103,493751,519144,506426,543024,572980
27137,"St. Louis, MN",3972774,4160052,4241987,4481450,4508694,4705434,4932977,5280073,5072356,5533681,5864910,5887220,5861827,5982360,6050218,6038348,6196829,6520640
27139,"Scott, MN",1810571,1932377,2059253,2268273,2352294,2445812,2464482,2536507,2377966,2500137,2642232,2818379,2952166,3218543,3388439,3627698,3957106,4183413
27141,"Sherburne, MN",935795,1006037,1092256,1181081,1211081,1258695,1277288,1247921,1197682,1232266,1350525,1437768,1521163,1594168,1624803,1674940,1716477,1796444
27143,"Sibley, MN",157544,174634,187228,207778,213238,207747,208367,231799,220148,245296,268482,305320,294535,270716,280762,266489,279602,251172
27145,"Stearns, MN",3148716,3333256,3388716,3618896,3722368,3858485,4058625,4245568,4110798,4236512,4538728,4795202,4994634,5364048,5503152,5581832,5802267,5957143
27147,"Steele, MN",820365,834354,854344,937990,971746,1046017,1062733,1156782,1087302,1113925,1154882,1220301,1217831,1208306,1208982,1238519,1301087,1382976
27149,"Stevens, MN",217797,233303,251888,278344,288372,292280,308864,332103,279269,312215,346972,460503,421700,426973,370056,348474,338743,357505
27151,"Swift, MN",181065,202543,189404,217783,230221,241700,227891,236983,212516,232872,265280,318054,282864,285934,312071,267380,249997,285003
27153,"Todd, MN",235841,250740,274166,302591,310785,316032,337006,406438,392716,424907,433303,479711,444332,455929,465162,433490,515732,511822
27155,"Traverse, MN",48417,52530,55755,62230,63047,65179,69060,84111,72442,84500,87722,155316,129851,89931,109005,87856,82226,107313
27157,"Wabasha, MN",303249,325911,357206,382031,367661,347984,344347,366613,340997,372468,410145,437709,420923,436719,423802,391610,413140,421767
27159,"Wadena, MN",214460,230890,243469,258446,256436,250936,255164,260961,250541,256053,267860,286828,296477,304590,318293,320148,319394,330803
27161,"Waseca, MN",328725,335432,355100,381948,395290,389386,397447,437545,403104,453247,503229,531759,517296,542250,560600,458183,440091,433662
27163,"Washington, MN",3430362,3513456,3715073,3880827,3978180,4130424,4176035,4196630,3957205,4128267,4372263,4582064,4846853,5179526,5514460,5821295,6153351,6477956
27165,"Watonwan, MN",184100,187588,199079,236865,239739,223300,217365,228823,213818,223497,262471,265218,277410,239021,222390,207684,243946,238895
27167,"Wilkin, MN",114356,122931,141607,125835,128417,143626,146755,173175,133917,174642,177994,234367,213996,172971,169230,170671,174133,200439
27169,"Winona, MN",938906,973038,1002449,1081078,1116604,1125820,1169441,1236216,1168012,1234244,1335366,1409158,1370450,1432659,1425624,1441733,1482788,1536053
27171,"Wright, MN",1328060,1441190,1550437,1670474,1749120,1826276,1901490,1927881,1868949,1960061,2135690,2281510,2340338,2494372,2652720,2738148,2813248,2915023
27173,"Yellow Medicine, MN",159477,163103,182114,220554,243124,242536,262575,279850,239321,252688,314848,319641,373958,332891,383015,318167,290879,301945
